month_year,County,vendor_name,Sale (Dollars)
2012-04,Howard,diageoamericas,11776.419999999991
2012-04,Humboldt,diageoamericas,9613.72
2012-04,Ida,diageoamericas,7821.630000000001
2012-04,Iowa,diageoamericas,34314.43999999997
2012-04,Jackson,diageoamericas,14872.119999999986
2012-04,Jasper,diageoamericas,20464.089999999986
2012-04,Jefferson,diageoamericas,14101.179999999997
2012-04,Johnson,diageoamericas,228332.26000000178
2012-04,Jones,diageoamericas,15357.949999999979
2012-04,Keokuk,diageoamericas,1854.43
2012-04,Kossuth,diageoamericas,33705.33999999998
2012-04,Lee,diageoamericas,39213.130000000005
2012-04,Linn,diageoamericas,331115.75000000175
2012-04,Louisa,diageoamericas,3941.5299999999997
2012-04,Lucas,diageoamericas,3665.959999999999
2012-04,Lyon,diageoamericas,9592.639999999998
2012-04,Madison,diageoamericas,11320.05
2012-04,Mahaska,diageoamericas,15534.769999999979
2012-04,Marion,diageoamericas,30964.67000000001
2012-04,Marshall,diageoamericas,26259.27999999999
2012-04,Mills,diageoamericas,7232.639999999999
2012-04,Mitchell,diageoamericas,7086.649999999998
2012-04,Monona,diageoamericas,11272.589999999993
2012-04,Monroe,diageoamericas,5415.480000000001
2012-04,Montgomery,diageoamericas,14106.65999999999
2012-04,Muscatine,diageoamericas,33156.41000000001
2012-04,O'Brien,diageoamericas,22684.079999999994
2012-04,Osceola,diageoamericas,2997.89
2012-04,Page,diageoamericas,20646.99
2012-04,Palo Alto,diageoamericas,9282.219999999996
2012-04,Plymouth,diageoamericas,27023.629999999994
2012-04,Pocahontas,diageoamericas,5440.219999999999
2012-04,Polk,diageoamericas,876146.3599999989
2012-04,Pottawattamie,diageoamericas,136099.24000000037
2012-04,Poweshiek,diageoamericas,20641.499999999978
2012-04,Ringgold,diageoamericas,1879.8000000000002
2012-04,Sac,diageoamericas,9082.209999999997
2012-04,Scott,diageoamericas,354297.3900000019
2012-04,Shelby,diageoamericas,15424.209999999997
2012-04,Sioux,diageoamericas,31285.300000000003
2012-04,Story,diageoamericas,140725.55000000042
2012-04,Tama,diageoamericas,6063.250000000003
2012-04,Taylor,diageoamericas,1544.7800000000004
2012-04,Union,diageoamericas,15322.50999999998
2012-04,Unknown,diageoamericas,4434.18
2012-04,Van Buren,diageoamericas,3890.3499999999995
2012-04,Wapello,diageoamericas,33849.04000000001
2012-04,Warren,diageoamericas,29095.61999999998
2012-04,Washington,diageoamericas,21640.85999999998
2012-04,Wayne,diageoamericas,4187.779999999999
2012-04,Webster,diageoamericas,42832.28999999996
2012-04,Winnebago,diageoamericas,11635.649999999987
2012-04,Winneshiek,diageoamericas,27420.239999999976
2012-04,Woodbury,diageoamericas,167475.87000000072
2012-04,Worth,diageoamericas,2400.5999999999995
2012-04,Wright,diageoamericas,8556.689999999991
2012-05,Adair,diageoamericas,6041.419999999999
2012-05,Adams,diageoamericas,1636.4699999999998
2012-05,Allamakee,diageoamericas,11226.099999999991
2012-05,Appanoose,diageoamericas,12652.379999999986
2012-05,Audubon,diageoamericas,2539.390000000001
2012-05,Benton,diageoamericas,10830.749999999989
2012-05,Black Hawk,diageoamericas,256862.97000000175
2012-05,Boone,diageoamericas,19364.009999999987
2012-05,Bremer,diageoamericas,27314.489999999983
2012-05,Buchanan,diageoamericas,29671.939999999973
2012-05,Buena Vista,diageoamericas,23517.90999999999
2012-05,Butler,diageoamericas,3413.7100000000014
2012-05,Calhoun,diageoamericas,5378.949999999998
2012-05,Carroll,diageoamericas,43869.880000000005
2012-05,Cass,diageoamericas,34483.95999999998
2012-05,Cedar,diageoamericas,7583.03999999999
2012-05,Cerro Gordo,diageoamericas,85434.34000000021
2012-05,Cherokee,diageoamericas,11820.779999999997
2012-05,Chickasaw,diageoamericas,3389.7400000000002
2012-05,Clarke,diageoamericas,11030.109999999995
2012-05,Clay,diageoamericas,32122.30999999998
2012-05,Clayton,diageoamericas,9366.969999999992
2012-05,Clinton,diageoamericas,53894.360000000044
2012-05,Crawford,diageoamericas,30759.629999999983
2012-05,Dallas,diageoamericas,119889.09000000011
2012-05,Davis,diageoamericas,2411.2400000000002
2012-05,Decatur,diageoamericas,2749.0600000000004
2012-05,Delaware,diageoamericas,10939.189999999997
2012-05,Des Moines,diageoamericas,56863.06
2012-05,Dickinson,diageoamericas,123620.13000000027
2012-05,Dubuque,diageoamericas,157229.82000000073
2012-05,Emmet,diageoamericas,9834.629999999994
2012-05,Fayette,diageoamericas,11173.799999999994
2012-05,Floyd,diageoamericas,12272.210000000001
2012-05,Franklin,diageoamericas,8865.769999999991
2012-05,Fremont,diageoamericas,157.44
2012-05,Greene,diageoamericas,6305.259999999996
2012-05,Grundy,diageoamericas,5015.06
2012-05,Guthrie,diageoamericas,5985.540000000001
2012-05,Hamilton,diageoamericas,10831.489999999985
2012-05,Hancock,diageoamericas,3536.530000000001
2012-05,Hardin,diageoamericas,28824.179999999986
2012-05,Harrison,diageoamericas,9466.739999999996
2012-05,Henry,diageoamericas,13074.56999999999
2012-05,Howard,diageoamericas,5637.279999999999
2012-05,Humboldt,diageoamericas,8064.449999999998
2012-05,Ida,diageoamericas,9578.269999999995
2012-05,Iowa,diageoamericas,30413.56999999997
2012-05,Jackson,diageoamericas,25614.75999999998
